Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(2, 3)]",4.98837411403656,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,bii,BII-SPEX-EBM
Model 2,2,"[(2, 3), (3, 4)]",4.883702784776688,0.0685976430119928,0.2619115175245122,0.2055238953716537,0.9557711229865352,bii,BII-SPEX-EBM
Model 3,3,"[(2, 3), (3, 4), (1, 2)]",4.312177745625377,0.0741680480107571,0.2723381134008921,0.2083085733687715,0.9521795599708428,bii,BII-SPEX-EBM
Model 4,4,"[(2, 3), (3, 4), (1, 2), (2, 4)]",4.303757302463055,0.0754940537686326,0.2747618127917936,0.2127049839832851,0.9513246071909937,bii,BII-SPEX-EBM
Model 5,5,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3)]",3.023870689794421,0.0784404739088926,0.280072265511765,0.2107338063026461,0.9494248793243848,bii,BII-SPEX-EBM
Model 6,6,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4)]",434.64566361159086,0.082711804119975,0.2875965996321498,0.2182656435282583,0.9466709051308864,bii,BII-SPEX-EBM
Model 7,7,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4), (1, 3, 4)]",183.23048959113655,0.0764585999843155,0.2765114825541889,0.2030312353742982,0.9507027083315854,bii,BII-SPEX-EBM
Model 1,1,"[(2, 3)]",3.246651554480195,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,fbii,FBII-SPEX-EBM
Model 2,2,"[(2, 3), (3, 4)]",4.891488488763571,0.0685976430119928,0.2619115175245122,0.2055238953716537,0.9557711229865352,fbii,FBII-SPEX-EBM
Model 3,3,"[(2, 3), (3, 4), (1, 2)]",4.071770831942558,0.0741680480107571,0.2723381134008921,0.2083085733687715,0.9521795599708428,fbii,FBII-SPEX-EBM
Model 4,4,"[(2, 3), (3, 4), (1, 2), (2, 4)]",4.245373276993632,0.0754940537686326,0.2747618127917936,0.2127049839832851,0.9513246071909937,fbii,FBII-SPEX-EBM
Model 5,5,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3)]",3.358782412484288,0.0784404739088926,0.280072265511765,0.2107338063026461,0.9494248793243848,fbii,FBII-SPEX-EBM
Model 6,6,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (1, 2, 4)]",10.085909882560372,0.0798336685836154,0.2825485242991289,0.2121424904188023,0.9485266059549432,fbii,FBII-SPEX-EBM
Model 7,7,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (1, 2, 4), (1, 4)]",10.984243573620915,0.0793923427110186,0.2817664683936302,0.2112129570417765,0.9488111543283988,fbii,FBII-SPEX-EBM
Model 8,8,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (1, 2, 4), (1, 4), (2, 3, 4)]",266.61327167600393,0.0834582019348923,0.2888913323983472,0.2082714139072003,0.946189659191382,fbii,FBII-SPEX-EBM
Model 9,9,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (1, 2, 4), (1, 4), (2, 3, 4), (1, 3, 4)]",231.23535009287295,0.0769944583079113,0.2774787528945437,0.2068593722581019,0.9503572094069822,fbii,FBII-SPEX-EBM
Model 10,10,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (1, 2, 4), (1, 4), (2, 3, 4), (1, 3, 4), (0, 1, 2)]",362.118099886924,0.0769421531634479,0.2773844861621644,0.2082420400291811,0.9503909335657152,fbii,FBII-SPEX-EBM
Model 1,1,"[(2, 3)]",3.030690375715494,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(2, 3), (3, 4)]",4.885418236255646,0.0685976430119928,0.2619115175245122,0.2055238953716537,0.9557711229865352,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(2, 3), (3, 4), (1, 2)]",4.201720645651221,0.0741680480107571,0.2723381134008921,0.2083085733687715,0.9521795599708428,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(2, 3), (3, 4), (1, 2), (2, 4)]",4.34431235678494,0.0754940537686326,0.2747618127917936,0.2127049839832851,0.9513246071909937,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3)]",3.5774307884275918,0.0784404739088926,0.280072265511765,0.2107338063026461,0.9494248793243848,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (0, 4)]",3.588176190853119,0.0751161032685352,0.2740731713767971,0.2051779201097131,0.9515682937879668,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(2, 3)]",3.414256988093257,0.078083563185764,0.2794343629294079,0.216813682291594,0.9496550003574834,fsii,FSII-SPEX-EBM
Model 2,2,"[(2, 3), (3, 4)]",4.884879544377327,0.0685976430119928,0.2619115175245122,0.2055238953716537,0.9557711229865352,fsii,FSII-SPEX-EBM
Model 3,3,"[(2, 3), (3, 4), (1, 2)]",4.1810364462435246,0.0741680480107571,0.2723381134008921,0.2083085733687715,0.9521795599708428,fsii,FSII-SPEX-EBM
Model 4,4,"[(2, 3), (3, 4), (1, 2), (2, 4)]",4.224744778126478,0.0754940537686326,0.2747618127917936,0.2127049839832851,0.9513246071909937,fsii,FSII-SPEX-EBM
Model 5,5,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3)]",3.378234846517444,0.0784404739088926,0.280072265511765,0.2107338063026461,0.9494248793243848,fsii,FSII-SPEX-EBM
Model 6,6,"[(2, 3), (3, 4), (1, 2), (2, 4), (1, 3), (2, 3, 4)]",437.7262860760093,0.082711804119975,0.2875965996321498,0.2182656435282583,0.9466709051308864,fsii,FSII-SPEX-EBM
