Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 5)]",5.06614013761282,3.40434703527877,1.8450872703692829,1.4647492793088543,0.7544607408404852,bii,BII-SPEX-EBM
Model 2,2,"[(0, 5), (0, 4)]",2.30718294903636,3.973553719627609,1.9933774654158225,1.584962931342638,0.7134065868029216,bii,BII-SPEX-EBM
Model 3,3,"[(0, 5), (0, 4), (0, 2)]",2.2335089445114136,3.7433198492049646,1.9347660967685385,1.6516766301017074,0.7300122540252042,bii,BII-SPEX-EBM
Model 4,4,"[(0, 5), (0, 4), (0, 2), (0, 1)]",2.263255540281534,2.592946308777809,1.610262807363385,1.2833317250086205,0.8129831920482904,bii,BII-SPEX-EBM
Model 5,5,"[(0, 5), (0, 4), (0, 2), (0, 1), (4, 8)]",2.297641836106777,2.391563959720961,1.54646822137442,1.2138688535636633,0.8275079371118241,bii,BII-SPEX-EBM
Model 6,6,"[(0, 5), (0, 4), (0, 2), (0, 1), (4, 8), (0, 3, 5)]",2.350822415202856,2.634213897200228,1.6230261541947584,1.2415783788477135,0.8100067583934557,bii,BII-SPEX-EBM
Model 7,7,"[(0, 5), (0, 4), (0, 2), (0, 1), (4, 8), (0, 3, 5), (1, 4)]",2.3665447384119034,2.508184358125704,1.5837248366195764,1.2407635970889104,0.8190966658958028,bii,BII-SPEX-EBM
Model 8,8,"[(0, 5), (0, 4), (0, 2), (0, 1), (4, 8), (0, 3, 5), (1, 4), (0, 7)]",2.557219374924898,2.356181461086836,1.5349858178780793,1.1943894045026735,0.830059907405042,bii,BII-SPEX-EBM
Model 1,1,"[(0, 4)]",2.234772343188524,3.52445736513665,1.877353819911593,1.5265129742463568,0.7457977575708333,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 4), (0, 5)]",2.295716781169176,4.009044112993538,2.0022597516290284,1.5917884894707883,0.7108468345790604,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 4), (0, 5), (0, 2)]",2.2651463337242603,3.722107686232237,1.9292764670290876,1.6435325834657373,0.7315421858234376,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 4), (0, 5), (0, 2), (0, 1)]",2.303246360272169,2.5902623728764773,1.6094292071652228,1.2839358363461446,0.8131767715000958,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 4), (0, 5), (0, 2), (0, 1), (0, 3, 5)]",2.2737330310046677,2.777915736168834,1.6667080536701184,1.273659879350511,0.7996422324756912,fbii,FBII-SPEX-EBM
