Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(3, 4)]",5.6713807955384254,5022.633680387612,70.87054169672764,33.27633999822331,0.9013367873445114,bii,BII-SPEX-EBM
Model 2,2,"[(3, 4), (2, 3)]",3.931783191859722,4857.741121205396,69.69749723774446,32.87734900274644,0.9045758907048518,bii,BII-SPEX-EBM
Model 3,3,"[(3, 4), (2, 3), (1, 4)]",7.210974056273699,4706.580005817779,68.60451884400749,32.44870102585424,0.907545257419961,bii,BII-SPEX-EBM
Model 4,4,"[(3, 4), (2, 3), (1, 4), (2, 3, 4)]",110.2995896525681,4641.715188695323,68.13013421897335,32.57074161760472,0.9088194437637912,bii,BII-SPEX-EBM
Model 5,5,"[(3, 4), (2, 3), (1, 4), (2, 3, 4), (2, 4)]",117.3244247995317,4688.062175176015,68.46942511206016,32.2308023126544,0.907909016511065,bii,BII-SPEX-EBM
Model 6,6,"[(3, 4), (2, 3), (1, 4), (2, 3, 4), (2, 4), (1, 2)]",209.5305525586009,4778.540634283772,69.12698918862135,33.20611324079315,0.906131682940722,bii,BII-SPEX-EBM
Model 7,7,"[(3, 4), (2, 3), (1, 4), (2, 3, 4), (2, 4), (1, 2), (0, 2)]",5.483438685536385,4670.25105401113,68.33923509969313,31.146849552372725,0.9082588931986656,bii,BII-SPEX-EBM
Model 8,8,"[(3, 4), (2, 3), (1, 4), (2, 3, 4), (2, 4), (1, 2), (0, 2), (1, 2, 4)]",8.018888976424932,4634.317407749682,68.07582102148811,31.02185066846617,0.9089647637056912,bii,BII-SPEX-EBM
Model 9,9,"[(3, 4), (2, 3), (1, 4), (2, 3, 4), (2, 4), (1, 2), (0, 2), (1, 2, 4), (3, 5)]",7.645240314304829,4469.971230009487,66.85784344420247,30.218730684680956,0.9121931341016478,bii,BII-SPEX-EBM
Model 10,10,"[(3, 4), (2, 3), (1, 4), (2, 3, 4), (2, 4), (1, 2), (0, 2), (1, 2, 4), (3, 5), (0, 3)]",7.774672619998455,4608.8654631522,67.88862543277924,30.847051245362582,0.9094647345938972,bii,BII-SPEX-EBM
Model 1,1,"[(3, 4)]",3.1081355810165405,5022.633680387612,70.87054169672764,33.27633999822331,0.9013367873445114,fbii,FBII-SPEX-EBM
Model 2,2,"[(3, 4), (2, 3)]",4.03217114135623,4857.741121205396,69.69749723774446,32.87734900274644,0.9045758907048518,fbii,FBII-SPEX-EBM
Model 3,3,"[(3, 4), (2, 3), (1, 2)]",2.946455761790276,4793.581779691838,69.23569729331712,32.46263926253772,0.9058362188829362,fbii,FBII-SPEX-EBM
