Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 9, 11)]",391.4744430668652,4646358775.111989,68164.20449995722,32660.579986014727,0.6706788165894771,bii,BII-SPEX-EBM
Model 2,2,"[(0, 9, 11), (9, 10)]",386.87578677758574,4730605805.149262,68779.39956956053,32689.353991260843,0.664707617856545,bii,BII-SPEX-EBM
Model 3,3,"[(0, 9, 11), (9, 10), (0, 9)]",456.8305362537503,4584380904.898692,67708.0564253523,32307.50507834792,0.6750716382702382,bii,BII-SPEX-EBM
Model 4,4,"[(0, 9, 11), (9, 10), (0, 9), (9, 11)]",502.8943839408457,4705803717.883707,68598.86090806252,32556.781848867504,0.6664655218679818,bii,BII-SPEX-EBM
Model 5,5,"[(0, 9, 11), (9, 10), (0, 9), (9, 11), (9, 10, 11)]",398.8916653692722,4721419829.818589,68712.58858330538,32664.25781516172,0.6653586946272156,bii,BII-SPEX-EBM
Model 6,6,"[(0, 9, 11), (9, 10), (0, 9), (9, 11), (9, 10, 11), (0, 11)]",709.4628473035991,4705703155.046773,68598.1279266918,32414.030572112537,0.6664726494864179,bii,BII-SPEX-EBM
Model 7,7,"[(0, 9, 11), (9, 10), (0, 9), (9, 11), (9, 10, 11), (0, 11), (0, 9, 10)]",642.3905423805118,4740740745.724241,68853.03730209904,32573.85686744771,0.6639892810286132,bii,BII-SPEX-EBM
Model 8,8,"[(0, 9, 11), (9, 10), (0, 9), (9, 11), (9, 10, 11), (0, 11), (0, 9, 10), (2, 9)]",556.5457131974399,4715804062.579502,68671.71224441328,32695.379237850564,0.6657567248273027,bii,BII-SPEX-EBM
Model 9,9,"[(0, 9, 11), (9, 10), (0, 9), (9, 11), (9, 10, 11), (0, 11), (0, 9, 10), (2, 9), (5, 9)]",972.7007016390562,4730880833.022197,68781.39888823283,32645.80274142633,0.6646881246342241,bii,BII-SPEX-EBM
Model 1,1,"[(0, 9, 11)]",452.0843729414046,4646358775.111989,68164.20449995722,32660.579986014727,0.6706788165894771,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 9, 11), (0, 11)]",486.6941102184355,4766595220.476062,69040.53317056627,32825.67903658306,0.6621567866746829,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 9, 11), (0, 11), (9, 10)]",477.7980317547917,4714929654.155211,68665.34536544043,32504.757316478182,0.6658187005013756,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 9, 11), (0, 11), (9, 10), (0, 9)]",554.8933408930898,4701311623.135765,68566.11133158833,32576.66289629337,0.6667839092396821,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11)]",1829.994296900928,4695729761.897685,68525.39501453227,32509.82799625382,0.6671795362752877,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9)]",830.7355515994132,4725977826.634935,68745.74769856631,32782.76420729164,0.6650356362974154,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9), (9, 10, 11)]",500.4493770226836,4667802006.348404,68321.3144366266,32577.250079105208,0.6691589790933399,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9), (9, 10, 11), (0, 9, 10)]",546.9460826590657,4736270539.227328,68820.56770491891,32724.316116219263,0.6643061170210334,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9), (9, 10, 11), (0, 9, 10), (0, 2, 9)]",948.1293217130004,4729053310.194086,68768.11259729386,32819.39177738752,0.6648176544466198,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 9, 11), (0, 11), (9, 10), (0, 9), (9, 11), (2, 9), (9, 10, 11), (0, 9, 10), (0, 2, 9), (2, 9, 11)]",1493.170008186251,4744267622.776643,68878.64417057468,32805.58315683217,0.6637393056434014,fbii,FBII-SPEX-EBM
Model 1,1,"[(9, 10)]",5.236930280923843,4581117933.586283,67683.95624951516,32171.955997157234,0.675302908739448,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(9, 10), (0, 9)]",5.386719476431608,4722799043.392318,68722.62395596023,32898.90673497937,0.665260939746833,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(9, 10), (0, 9), (9, 11)]",5.919875867664814,4769199216.114642,69059.38905112499,32783.02610830297,0.6619722225962723,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 9, 11)]",458.4397283382714,4646358775.111989,68164.20449995722,32660.579986014727,0.6706788165894771,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 9, 11), (0, 11)]",492.2843132317066,4766595220.476062,69040.53317056627,32825.67903658306,0.6621567866746829,fsii,FSII-SPEX-EBM
