Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(12, 13)]",5.322490528225899,3855.859885136109,62.0955705758157,47.21768726883743,0.4533943783644589,bii,BII-SPEX-EBM
Model 2,2,"[(12, 13), (8, 12, 13)]",29.726520854979757,3539.9528970081737,59.497503283820016,44.75485436240108,0.4981772648719095,bii,BII-SPEX-EBM
Model 3,3,"[(12, 13), (8, 12, 13), (8, 13)]",33.16513950377703,3558.041952029532,59.6493248245907,45.09969184375368,0.4956129654784422,bii,BII-SPEX-EBM
Model 1,1,"[(12, 13)]",2.5897790528833866,3855.859885136109,62.0955705758157,47.21768726883743,0.4533943783644589,fbii,FBII-SPEX-EBM
Model 2,2,"[(12, 13), (8, 13)]",2.4680187292397022,3459.5574970255566,58.81800317101522,43.99654869502513,0.5095740943452878,fbii,FBII-SPEX-EBM
Model 3,3,"[(12, 13), (8, 13), (8, 12, 13)]",32.843097008764744,3531.9248019439365,59.4299991750289,44.976614343688425,0.4993153253885928,fbii,FBII-SPEX-EBM
Model 4,4,"[(12, 13), (8, 13), (8, 12, 13), (5, 13)]",22.580048445612192,3517.6405043504687,59.309699917892594,44.79908887340702,0.5013402634305074,fbii,FBII-SPEX-EBM
Model 1,1,"[(12, 13)]",2.5885352678596973,3855.859885136109,62.0955705758157,47.21768726883743,0.4533943783644589,fsii,FSII-SPEX-EBM
Model 2,2,"[(12, 13), (8, 12, 13)]",29.449088133871555,3539.9528970081737,59.497503283820016,44.75485436240108,0.4981772648719095,fsii,FSII-SPEX-EBM
Model 3,3,"[(12, 13), (8, 12, 13), (8, 13)]",32.88163947314024,3558.041952029532,59.6493248245907,45.09969184375368,0.4956129654784422,fsii,FSII-SPEX-EBM
Model 4,4,"[(12, 13), (8, 12, 13), (8, 13), (0, 13)]",20.0664387755096,3506.8134976143942,59.21835439806137,44.71391920586353,0.5028750968849691,fsii,FSII-SPEX-EBM
Model 5,5,"[(12, 13), (8, 12, 13), (8, 13), (0, 13), (5, 13)]",20.611378133296967,3438.471129966548,58.63847823713153,44.38581119977155,0.5125632918570427,fsii,FSII-SPEX-EBM
Model 1,1,"[(12, 13)]",2.588022455573082,3855.859885136109,62.0955705758157,47.21768726883743,0.4533943783644589,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(12, 13), (8, 13)]",2.467323798686266,3459.5574970255566,58.81800317101522,43.99654869502513,0.5095740943452878,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(12, 13), (8, 13), (8, 12, 13)]",32.667793691158295,3531.9248019439365,59.4299991750289,44.976614343688425,0.4993153253885928,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(12, 13), (8, 13), (8, 12, 13), (0, 13)]",19.116460513323545,3586.7712741728737,59.88965915893055,45.68684466689163,0.4915403047861114,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(12, 13), (8, 13), (8, 12, 13), (0, 13), (5, 13)]",21.338963396847248,3500.527840266346,59.16525872728308,44.586982027110274,0.5037661499170989,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(12, 13)]",1.0491268374025822,3855.859885136109,62.0955705758157,47.21768726883743,0.4533943783644589,sii,SII-SPEX-EBM
Model 2,2,"[(12, 13), (8, 12, 13)]",27.426274679601192,3539.9528970081737,59.497503283820016,44.75485436240108,0.4981772648719095,sii,SII-SPEX-EBM
Model 1,1,"[(12, 13)]",0.6159784570336342,3855.859885136109,62.0955705758157,47.21768726883743,0.4533943783644589,stii,STII-SPEX-EBM
Model 2,2,"[(12, 13), (8, 12, 13)]",27.734864745289087,3539.9528970081737,59.497503283820016,44.75485436240108,0.4981772648719095,stii,STII-SPEX-EBM
Model 3,3,"[(12, 13), (8, 12, 13), (8, 13)]",31.462304294109344,3558.041952029532,59.6493248245907,45.09969184375368,0.4956129654784422,stii,STII-SPEX-EBM
Model 4,4,"[(12, 13), (8, 12, 13), (8, 13), (0, 13)]",18.1446192227304,3506.8134976143942,59.21835439806137,44.71391920586353,0.5028750968849691,stii,STII-SPEX-EBM
Model 5,5,"[(12, 13), (8, 12, 13), (8, 13), (0, 13), (5, 13)]",18.66195115819573,3438.471129966548,58.63847823713153,44.38581119977155,0.5125632918570427,stii,STII-SPEX-EBM
Model 1,1,"[(1, 8)]",5.240954332053661,3276.11722204318,57.237376093276495,45.35106810818099,0.5355785365518793,,Baseline-EBM
Model 1,1,"[(1, 8)]",3.13042064756155,3276.11722204318,57.237376093276495,45.35106810818099,0.5355785365518793,,RuleFit-Support-EBM
Model 2,2,"[(1, 8), (4, 8)]",5.929802658036351,3381.888170261593,58.15400390567784,44.78034513184309,0.520584476439691,,Baseline-EBM
Model 2,2,"[(1, 8), (12, 13)]",3.2184787578880787,3186.4385576790864,56.44854787927752,45.45336384973499,0.5482913589941942,,RuleFit-Support-EBM
Model 3,3,"[(1, 8), (4, 8), (8, 12)]",21.62036582501605,3118.502416458141,55.84355304292646,44.03647645780816,0.5579219674213167,,Baseline-EBM
Model 3,3,"[(1, 8), (12, 13), (5, 8)]",11.75999241694808,2894.8345376158936,53.80366658152485,43.28696899783503,0.5896290635286623,,RuleFit-Support-EBM
Model 4,4,"[(1, 8), (4, 8), (5, 6), (8, 12)]",6.199069827795029,2885.0155575053464,53.712340830626125,41.591950162440696,0.5910209994099018,,Baseline-EBM
Model 4,4,"[(1, 8), (12, 13), (5, 8), (8, 12, 14)]",34.16672897338867,3228.245673909712,56.81765283703395,45.40782112059199,0.5423647938604035,,RuleFit-Support-EBM
Model 5,5,"[(1, 4), (1, 8), (4, 8), (5, 6), (8, 12)]",5.168565563857555,3302.126094812385,57.46412876579949,43.7173838026531,0.5318915260038939,,Baseline-EBM
Model 5,5,"[(1, 8), (12, 13), (5, 8), (8, 12, 14), (2, 4, 8)]",14.366587787866592,3372.1425956889348,58.07015236495367,44.5794695818612,0.5219660063723575,,RuleFit-Support-EBM
Model 6,6,"[(1, 4), (1, 8), (4, 8), (5, 6), (8, 11), (8, 12)]",5.670059008523822,3097.6161467995903,55.65623187747793,42.1110670195046,0.5608827991814045,,Baseline-EBM
Model 6,6,"[(1, 8), (12, 13), (5, 8), (8, 12, 14), (2, 4, 8), (11, 13)]",53.0460235029459,3386.572839611635,58.1942680992865,44.2245009602759,0.519920379019526,,RuleFit-Support-EBM
Model 7,7,"[(1, 4), (1, 8), (3, 4), (4, 8), (5, 6), (8, 11), (8, 12)]",4.878575725480914,3484.557899570627,59.0301439907665,45.65139475274626,0.5060300442549396,,Baseline-EBM
Model 7,7,"[(1, 8), (12, 13), (5, 8), (8, 12, 14), (2, 4, 8), (11, 13), (0, 5, 11)]",15.22402148321271,3303.803010149417,57.47871788887968,44.4231333148127,0.5316538069535306,,RuleFit-Support-EBM
Model 8,8,"[(1, 4), (1, 8), (2, 8), (3, 4), (4, 8), (5, 6), (8, 11), (8, 12)]",5.896924246102572,2783.3315454845256,52.75728902705792,40.376462385657,0.6054356965868648,,Baseline-EBM
Model 8,8,"[(1, 8), (12, 13), (5, 8), (8, 12, 14), (2, 4, 8), (11, 13), (0, 5, 11), (12, 14)]",16.579285018146038,3338.1461000592026,57.776691667654376,44.45714415086633,0.526785340108719,,RuleFit-Support-EBM
Model 9,9,"[(1, 4), (1, 8), (2, 8), (3, 4), (4, 8), (5, 6), (8, 11), (8, 12), (8, 14)]",9.321032706648111,3418.418178369642,58.46724021509517,44.73792936667192,0.5154059926811851,,Baseline-EBM
Model 9,9,"[(1, 8), (12, 13), (5, 8), (8, 12, 14), (2, 4, 8), (11, 13), (0, 5, 11), (12, 14), (0, 8, 9)]",41.63681951537728,3283.954322851,57.30579659031885,43.85750776036579,0.5344675513277034,,RuleFit-Support-EBM
Model 10,10,"[(1, 4), (1, 8), (2, 8), (3, 4), (4, 8), (5, 6), (6, 8), (8, 11), (8, 12), (8, 14)]",6.634628031402826,3308.45621318686,57.51918126318263,43.8871519027935,0.5309941701890613,,Baseline-EBM
Model 10,10,"[(1, 8), (12, 13), (5, 8), (8, 12, 14), (2, 4, 8), (11, 13), (0, 5, 11), (12, 14), (0, 8, 9), (0, 1, 8)]",80.46015225723386,2752.88815493418,52.46797265889144,41.04312318167501,0.6097513431383934,,RuleFit-Support-EBM
