Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 5)]",5.259726699441671,1.8568796560691887,1.3626737159236575,1.130821018837786,0.9600826167528786,bii,BII-SPEX-EBM
Model 2,2,"[(0, 5), (0, 1)]",2.476649481803179,1.7819162109924611,1.334884343676433,1.1129146105721694,0.961694107598218,bii,BII-SPEX-EBM
Model 3,3,"[(0, 5), (0, 1), (0, 6)]",2.688550267368555,1.8048059084412789,1.343430648913921,1.116399886528891,0.961202047263296,bii,BII-SPEX-EBM
Model 4,4,"[(0, 5), (0, 1), (0, 6), (0, 3)]",2.8176896423101425,1.867505740999305,1.3665671373918316,1.1336133900542853,0.9598541875689056,bii,BII-SPEX-EBM
Model 5,5,"[(0, 5), (0, 1), (0, 6), (0, 3), (0, 10)]",2.765747305005789,1.750656477061765,1.3231237572735837,1.0997015994952315,0.9623660987934666,bii,BII-SPEX-EBM
Model 6,6,"[(0, 5), (0, 1), (0, 6), (0, 3), (0, 10), (0, 2)]",2.806575506925583,1.8379732003387368,1.3557187025112316,1.1268267115424626,0.9604890492520288,bii,BII-SPEX-EBM
Model 7,7,"[(0, 5), (0, 1), (0, 6), (0, 3), (0, 10), (0, 2), (0, 9)]",3.1895307451486588,1.8189366693800864,1.3486796021961949,1.1212115273303371,0.9608982779812512,bii,BII-SPEX-EBM
Model 8,8,"[(0, 5), (0, 1), (0, 6), (0, 3), (0, 10), (0, 2), (0, 9), (0, 2, 6)]",285.5028441809118,1.7577891281072124,1.3258164006027426,1.1005225154425031,0.9622127680353754,bii,BII-SPEX-EBM
Model 9,9,"[(0, 5), (0, 1), (0, 6), (0, 3), (0, 10), (0, 2), (0, 9), (0, 2, 6), (0, 12)]",183.489077758044,1.7190756904441793,1.3111352677905432,1.0899464902660092,0.9630449916654624,bii,BII-SPEX-EBM
Model 10,10,"[(0, 5), (0, 1), (0, 6), (0, 3), (0, 10), (0, 2), (0, 9), (0, 2, 6), (0, 12), (0, 13)]",223.35517621040344,1.737574481217126,1.318170884679648,1.0946255281660098,0.9626473227489668,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",2.375150293111801,1.8154382824630164,1.347382010590544,1.1347107396533,0.9609734828825808,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 5)]",2.534702286124229,1.851816773176125,1.3608147460900493,1.1322188060116372,0.9601914536589848,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 5), (0, 6)]",2.6051060520112514,1.7484651959927275,1.322295426897003,1.1013885045386858,0.9624132048113224,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 5), (0, 6), (0, 10)]",2.7855464965105057,1.848075070322632,1.3594392484854303,1.1289311669252355,0.9602718891284088,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3)]",2.81714191287756,1.8245783817751184,1.3507695516908569,1.1244689118816251,0.9607769979644734,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2)]",2.062684692442417,1.7766005804879383,1.332891811246486,1.1131167597259417,0.9618083778253464,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9)]",1.9212715290486813,1.7947467491416689,1.3396815849826662,1.1147711196187575,0.9614182892343868,fbii,FBII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9), (0, 2, 6)]",227.2514119036496,1.7039465260315445,1.305353027357559,1.0830577790823923,0.96337022364918,fbii,FBII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9), (0, 2, 6), (0, 7)]",196.9172622635961,1.7681559492805023,1.3297202522637994,1.1055382783649323,0.9619899122501466,fbii,FBII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9), (0, 2, 6), (0, 7), (0, 12)]",203.54636355489487,1.695499098655736,1.3021133202051718,1.0881580118920229,0.9635518181832738,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 5)]",2.530582431703806,1.8568796560691887,1.3626737159236575,1.130821018837786,0.9600826167528786,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 5), (0, 1)]",3.985282063484192,1.7819162109924611,1.334884343676433,1.1129146105721694,0.961694107598218,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 5), (0, 1), (0, 6)]",5.207502543926239,1.8048059084412789,1.343430648913921,1.116399886528891,0.961202047263296,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 5), (0, 1), (0, 6), (0, 10)]",4.740632563829422,1.7783892415558653,1.3335626125367588,1.1051852956029904,0.9617699269386052,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(0, 5), (0, 1), (0, 6), (0, 10), (0, 2)]",4.029355976730585,1.7666385375953144,1.329149554262166,1.1028734974387102,0.9620225320828768,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(0, 5), (0, 1), (0, 6), (0, 10), (0, 2), (0, 3)]",8.207398161292076,1.82550662437613,1.351113105693276,1.123881117508161,0.9607570435126436,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(0, 5), (0, 1), (0, 6), (0, 10), (0, 2), (0, 3), (0, 9)]",3.7527417838573456,1.7544497066778468,1.3245564188353196,1.106821382532578,0.9622845556520816,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(0, 5), (0, 1), (0, 6), (0, 10), (0, 2), (0, 3), (0, 9), (0, 13)]",6.140086770057678,1.787298412198725,1.3368988040232233,1.111558089751018,0.9615784062992344,fourier,FOURIER-SPEX-EBM
Model 9,9,"[(0, 5), (0, 1), (0, 6), (0, 10), (0, 2), (0, 3), (0, 9), (0, 13), (0, 7)]",5.571104180067778,1.7417611384026546,1.3197579847845795,1.0980564092806728,0.9625573220863752,fourier,FOURIER-SPEX-EBM
Model 10,10,"[(0, 5), (0, 1), (0, 6), (0, 10), (0, 2), (0, 3), (0, 9), (0, 13), (0, 7), (0, 12)]",7.433428730815649,1.830930133933739,1.3531186695680977,1.1203373529118157,0.9606404542071126,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 1)]",3.398424077779054,1.8154382824630164,1.347382010590544,1.1347107396533,0.9609734828825808,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 5)]",3.4904200732707977,1.851816773176125,1.3608147460900493,1.1322188060116372,0.9601914536589848,fsii,FSII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 5), (0, 6)]",5.69966908916831,1.7484651959927275,1.322295426897003,1.1013885045386858,0.9624132048113224,fsii,FSII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 5), (0, 6), (0, 10)]",4.940964303910732,1.848075070322632,1.3594392484854303,1.1289311669252355,0.9602718891284088,fsii,FSII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3)]",5.823711145669222,1.8245783817751184,1.3507695516908569,1.1244689118816251,0.9607769979644734,fsii,FSII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2)]",6.069503199309111,1.7766005804879383,1.332891811246486,1.1131167597259417,0.9618083778253464,fsii,FSII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9)]",7.025554936379194,1.7947467491416689,1.3396815849826662,1.1147711196187575,0.9614182892343868,fsii,FSII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9), (0, 13)]",4.852560479193926,1.8255906087559224,1.3511441850357506,1.12180095473777,0.960755238098564,fsii,FSII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9), (0, 13), (0, 7)]",13.708931550383568,1.7805018486324302,1.3343544688846476,1.106437393849777,0.9617245121773144,fsii,FSII-SPEX-EBM
Model 10,10,"[(0, 1), (0, 5), (0, 6), (0, 10), (0, 3), (0, 2), (0, 9), (0, 13), (0, 7), (0, 2, 6)]",291.3000010177493,1.7440131565023065,1.3206109027651962,1.0948949963528776,0.962508910403222,fsii,FSII-SPEX-EBM
Model 1,1,"[(0, 5)]",4.225042570382357,1.8568796560691887,1.3626737159236575,1.130821018837786,0.9600826167528786,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(0, 5), (0, 1)]",4.031175512820482,1.7819162109924611,1.334884343676433,1.1129146105721694,0.961694107598218,mobius,MOBIUS-SPEX-EBM
