Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(3, 4)]",11.881919778883455,6906.894388621758,83.10772761074482,19.323936744411384,0.8715162744785712,bii,BII-SPEX-EBM
Model 2,2,"[(3, 4), (2, 3)]",11.141105599701405,6859.761500912861,82.82367717575006,19.207408873827543,0.872393051893526,bii,BII-SPEX-EBM
Model 3,3,"[(3, 4), (2, 3), (1, 6)]",15.95356398075819,6703.446653521678,81.87457879904896,19.009610635785545,0.8753008586178069,bii,BII-SPEX-EBM
Model 4,4,"[(3, 4), (2, 3), (1, 6), (1, 2)]",17.240954391658306,6639.173299668926,81.48112235155408,19.037784629509403,0.8764964871434672,bii,BII-SPEX-EBM
Model 5,5,"[(3, 4), (2, 3), (1, 6), (1, 2), (1, 3)]",17.684620764106512,6558.532968928209,80.98476998132556,18.908725882952385,0.8779965781449911,bii,BII-SPEX-EBM
Model 6,6,"[(3, 4), (2, 3), (1, 6), (1, 2), (1, 3), (3, 6)]",22.406635466963053,6463.598303269466,80.39650678524201,18.88049474529175,0.8797625758334834,bii,BII-SPEX-EBM
Model 7,7,"[(3, 4), (2, 3), (1, 6), (1, 2), (1, 3), (3, 6), (1, 4)]",11.700981844216583,6664.096456859063,81.63391731908412,19.02578416597741,0.8760328605252841,bii,BII-SPEX-EBM
Model 8,8,"[(3, 4), (2, 3), (1, 6), (1, 2), (1, 3), (3, 6), (1, 4), (2, 4)]",29.50349101424217,6451.937785678818,80.323955241751,18.716240796531324,0.8799794876113763,bii,BII-SPEX-EBM
Model 9,9,"[(3, 4), (2, 3), (1, 6), (1, 2), (1, 3), (3, 6), (1, 4), (2, 4), (1, 2, 3)]",782.0014461800456,6364.852817735984,79.78002768698431,18.712450184691654,0.8815994633180618,bii,BII-SPEX-EBM
Model 10,10,"[(3, 4), (2, 3), (1, 6), (1, 2), (1, 3), (3, 6), (1, 4), (2, 4), (1, 2, 3), (1, 3, 4)]",710.0249411799014,6374.113874681683,79.838047788518,18.57458114381254,0.8814271868893662,bii,BII-SPEX-EBM
Model 1,1,"[(3, 4)]",12.528359316289423,6906.894388621758,83.10772761074482,19.323936744411384,0.8715162744785712,fbii,FBII-SPEX-EBM
Model 2,2,"[(3, 4), (2, 3)]",18.861689895391464,6859.761500912861,82.82367717575006,19.207408873827543,0.872393051893526,fbii,FBII-SPEX-EBM
Model 3,3,"[(3, 4), (2, 3), (1, 6)]",18.755906280130148,6703.446653521678,81.87457879904896,19.009610635785545,0.8753008586178069,fbii,FBII-SPEX-EBM
Model 4,4,"[(3, 4), (2, 3), (1, 6), (1, 3)]",18.61334541067481,6547.293977205686,80.91535068950567,18.834791158173,0.8782056485963929,fbii,FBII-SPEX-EBM
Model 5,5,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 2)]",19.13806924596429,6514.371734144446,80.71165798163513,18.82452270385045,0.8788180761510981,fbii,FBII-SPEX-EBM
Model 6,6,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 2), (1, 4)]",11.765423998236656,6636.349472540637,81.46379240215028,18.84273146415587,0.8765490166609691,fbii,FBII-SPEX-EBM
Model 7,7,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 2), (1, 4), (3, 5)]",14.094014320522549,6567.048908221686,81.03733033745426,19.003796035052712,0.8778381625756807,fbii,FBII-SPEX-EBM
Model 8,8,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 2), (1, 4), (3, 5), (1, 2, 3)]",679.0686971843243,6516.531921446188,80.72503899934757,18.989222246885895,0.8787778918226958,fbii,FBII-SPEX-EBM
Model 9,9,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 2), (1, 4), (3, 5), (1, 2, 3), (3, 6)]",789.3419582024217,6468.723001425196,80.42837186854646,18.86679633971612,0.8796672449547739,fbii,FBII-SPEX-EBM
Model 10,10,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 2), (1, 4), (3, 5), (1, 2, 3), (3, 6), (3, 4, 5)]",643.5932520218194,6398.662687838557,79.99164136232334,18.67251283215701,0.8809705239097323,fbii,FBII-SPEX-EBM
Model 1,1,"[(3, 4)]",18.226809423416853,6906.894388621758,83.10772761074482,19.323936744411384,0.8715162744785712,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(3, 4), (2, 3)]",14.413733281195164,6859.761500912861,82.82367717575006,19.207408873827543,0.872393051893526,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(3, 4), (2, 3), (1, 3)]",12.798804610967636,6725.115673430062,82.00680260460142,18.92605011034089,0.8748977662510243,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(3, 4), (2, 3), (1, 3), (1, 2)]",19.71008910983801,6689.046776570895,81.78659289009963,18.90964007895413,0.8755687286232807,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(3, 4), (2, 3), (1, 3), (1, 2), (1, 6)]",12.28408509492874,6657.572797428673,81.59395074041134,18.875897019584563,0.8761542152211124,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(3, 4)]",15.250193916261196,6906.894388621758,83.10772761074482,19.323936744411384,0.8715162744785712,fsii,FSII-SPEX-EBM
Model 2,2,"[(3, 4), (2, 3)]",11.644005596637726,6859.761500912861,82.82367717575006,19.207408873827543,0.872393051893526,fsii,FSII-SPEX-EBM
Model 3,3,"[(3, 4), (2, 3), (1, 6)]",20.499737828969955,6703.446653521678,81.87457879904896,19.009610635785545,0.8753008586178069,fsii,FSII-SPEX-EBM
Model 4,4,"[(3, 4), (2, 3), (1, 6), (1, 3)]",19.028530791401863,6547.293977205686,80.91535068950567,18.834791158173,0.8782056485963929,fsii,FSII-SPEX-EBM
Model 5,5,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 4)]",11.678776782006024,6603.880780221635,81.26426508756253,18.80353706109464,0.8771530071547033,fsii,FSII-SPEX-EBM
Model 6,6,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 4), (1, 2)]",12.591947179287672,6639.059432280897,81.48042361377914,18.84849304045079,0.8764986053322517,fsii,FSII-SPEX-EBM
Model 7,7,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 4), (1, 2), (1, 2, 3)]",835.3761771544814,6502.51762653808,80.63818962835215,18.96074569161381,0.8790385891374422,fsii,FSII-SPEX-EBM
Model 8,8,"[(3, 4), (2, 3), (1, 6), (1, 3), (1, 4), (1, 2), (1, 2, 3), (3, 6)]",904.3414572104812,6384.834692700433,79.90516061369524,18.756472431883008,0.8812277556309477,fsii,FSII-SPEX-EBM
