Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(0, 1)]",6.708266932982951,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,bii,BII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",12.58853707590606,0.2958083324670691,0.5438826458594438,0.4257224024828409,0.73326784292217,bii,BII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (1, 3)]",5.122654266888276,0.2994668279378625,0.5472356237836336,0.4264227909411611,0.7299689554958233,bii,BII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (1, 3), (1, 4)]",7.277991440962069,0.2966645491272902,0.5446692107392249,0.4264446947038283,0.7324957871967548,bii,BII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (1, 3), (1, 4), (0, 2)]",10.552453245967628,0.2990454906269003,0.5468505194538086,0.4245822262045519,0.7303488778897365,bii,BII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (1, 3), (1, 4), (0, 2), (0, 1, 3)]",1647.467044560006,0.2984890807915604,0.5463415422531591,0.4285097047995484,0.7308505959933536,bii,BII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 3), (1, 4), (0, 2), (0, 1, 3), (0, 4)]",1437.7861004080623,0.2995196841661419,0.5472839155010331,0.4293996643409817,0.7299212947160665,bii,BII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (1, 3), (1, 4), (0, 2), (0, 1, 3), (0, 4), (2, 3)]",1227.3053833009908,0.3009402377828575,0.5485802017780604,0.430682099524265,0.7286403729540892,bii,BII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.101260676980019,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,fbii,FBII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",12.227348350919783,0.2958083324670691,0.5438826458594438,0.4257224024828409,0.73326784292217,fbii,FBII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (1, 4)]",4.881457192939706,0.2943282577883042,0.5425202832966747,0.42629727058786,0.7346024351847027,fbii,FBII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (1, 4), (1, 3)]",5.707497365074232,0.3015411810659206,0.549127654617686,0.4285691456894279,0.7280984987721282,fbii,FBII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2)]",10.689848746987993,0.2908830978946543,0.539335793263023,0.418742978421028,0.7377089566347487,fbii,FBII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 4)]",10.106652889982795,0.2949914713331672,0.5431311732290527,0.4243837873513135,0.7340044115321938,fbii,FBII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 4), (0, 1, 3)]",1484.8337777149864,0.3008960782078814,0.5485399513325182,0.4300185572457667,0.7286801919091226,fbii,FBII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.128949607955292,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(0, 1), (1, 4)]",4.656937466003001,0.2897487660728726,0.5382831653255307,0.4230911435428307,0.7387317904783475,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(0, 1), (1, 4), (0, 3)]",4.476559920003638,0.29556784043089,0.5436615127364545,0.4278834453761336,0.7334846960413337,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(0, 1), (1, 4), (0, 3), (1, 3)]",6.567008972051553,0.2973867451525226,0.545331775300617,0.4273354844415363,0.7318445786860386,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(0, 1), (1, 4), (0, 3), (1, 3), (0, 4)]",7.404612004989758,0.2970343456804084,0.5450085739512806,0.429546074962375,0.7321623394149748,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(0, 1), (1, 4), (0, 3), (1, 3), (0, 4), (0, 2)]",9.844217739067972,0.2959178841280794,0.5439833491275992,0.4252194146897034,0.7331690595288524,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(0, 1), (1, 4), (0, 3), (1, 3), (0, 4), (0, 2), (2, 3)]",7.849257939960808,0.300191971865798,0.547897775014462,0.4285649438827499,0.7293150888434643,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(0, 1)]",5.592005055979826,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,fsii,FSII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",12.384756000014022,0.2958083324670691,0.5438826458594438,0.4257224024828409,0.73326784292217,fsii,FSII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (1, 4)]",4.610875367070548,0.2943282577883042,0.5425202832966747,0.42629727058786,0.7346024351847027,fsii,FSII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (1, 4), (1, 3)]",5.437572321970947,0.3015411810659206,0.549127654617686,0.4285691456894279,0.7280984987721282,fsii,FSII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2)]",10.720416427007876,0.2908830978946543,0.539335793263023,0.418742978421028,0.7377089566347487,fsii,FSII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 4)]",9.954072162974626,0.2949914713331672,0.5431311732290527,0.4243837873513135,0.7340044115321938,fsii,FSII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 4), (0, 1, 3)]",1463.701179021038,0.3008960782078814,0.5485399513325182,0.4300185572457667,0.7286801919091226,fsii,FSII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 4), (0, 1, 3), (3, 7)]",1374.1249780340586,0.2990830924071991,0.5468848986827111,0.4300821997527319,0.7303149721377064,fsii,FSII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.067157693905756,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",12.18079803592991,0.2958083324670691,0.5438826458594438,0.4257224024828409,0.73326784292217,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (1, 4)]",4.547952526947483,0.2943282577883042,0.5425202832966747,0.42629727058786,0.7346024351847027,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (1, 4), (1, 3)]",5.825882988981903,0.3015411810659206,0.549127654617686,0.4285691456894279,0.7280984987721282,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 4)]",7.803924467996694,0.2971902640818613,0.5451515973395485,0.429601883264331,0.7320217468522137,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 4), (0, 2)]",10.054240119061433,0.299705096558884,0.547453282535491,0.4275526821608127,0.7297541072435142,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 4), (0, 2), (0, 1, 3)]",1423.4857896970352,0.3000641091128115,0.5477810777243145,0.4293908431765006,0.7294303834588309,mobius,MOBIUS-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 4), (0, 2), (0, 1, 3), (3, 4)]",1497.1434415130643,0.3013388838503708,0.5489434249996723,0.4315088786387671,0.7282809113912198,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(0, 1)]",6.127003359026276,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,sii,SII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",12.17131620796863,0.2958083324670691,0.5438826458594438,0.4257224024828409,0.73326784292217,sii,SII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (1, 4)]",4.569973742007278,0.2943282577883042,0.5425202832966747,0.42629727058786,0.7346024351847027,sii,SII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (1, 4), (1, 3)]",5.454175619059242,0.3015411810659206,0.549127654617686,0.4285691456894279,0.7280984987721282,sii,SII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2)]",10.564637542003766,0.2908830978946543,0.539335793263023,0.418742978421028,0.7377089566347487,sii,SII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 1, 3)]",1672.0389083490008,0.2975142882654652,0.5454487036059993,0.4271760979575513,0.7317295722920272,sii,SII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 1, 3), (0, 4)]",1565.2550729659852,0.2993748114815371,0.5471515434333866,0.4298049553706611,0.7300519272893412,sii,SII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 1, 3), (0, 4), (2, 3)]",1065.8838744889945,0.3008743816045516,0.5485201742912941,0.4306504323637633,0.7286997558671733,sii,SII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 3), (1, 4), (1, 3), (0, 2), (0, 1, 3), (0, 4), (2, 3), (3, 4)]",1461.1893138540909,0.2978458137727683,0.5457525206288729,0.4278247939163477,0.731430633743029,sii,SII-SPEX-EBM
Model 1,1,"[(0, 1)]",6.384998453082517,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,stii,STII-SPEX-EBM
Model 2,2,"[(0, 1), (0, 3)]",13.079573220922612,0.2958083324670691,0.5438826458594438,0.4257224024828409,0.73326784292217,stii,STII-SPEX-EBM
Model 3,3,"[(0, 1), (0, 3), (1, 4)]",5.014954391983338,0.2943282577883042,0.5425202832966747,0.42629727058786,0.7346024351847027,stii,STII-SPEX-EBM
Model 4,4,"[(0, 1), (0, 3), (1, 4), (0, 2)]",10.593277919106184,0.2876420840165263,0.5363227424009972,0.4155862625960146,0.74063139839162,stii,STII-SPEX-EBM
Model 5,5,"[(0, 1), (0, 3), (1, 4), (0, 2), (1, 3)]",11.52738703903742,0.2977283768281223,0.5456449182647286,0.4234128101289608,0.7315365273441483,stii,STII-SPEX-EBM
Model 6,6,"[(0, 1), (0, 3), (1, 4), (0, 2), (1, 3), (0, 4)]",10.652712036040612,0.2997840829940865,0.5475254176694325,0.4276815377873357,0.7296828846986125,stii,STII-SPEX-EBM
Model 7,7,"[(0, 1), (0, 3), (1, 4), (0, 2), (1, 3), (0, 4), (0, 1, 3)]",1387.250480732997,0.3004481220557586,0.5481314824526673,0.429954634011962,0.729084116672619,stii,STII-SPEX-EBM
Model 8,8,"[(0, 1), (0, 3), (1, 4), (0, 2), (1, 3), (0, 4), (0, 1, 3), (2, 3)]",1153.0371438500006,0.2998047139361713,0.5475442575136473,0.4307592058147397,0.7296642816537322,stii,STII-SPEX-EBM
Model 9,9,"[(0, 1), (0, 3), (1, 4), (0, 2), (1, 3), (0, 4), (0, 1, 3), (2, 3), (3, 4)]",1525.8285618840018,0.299314199325282,0.547096151809974,0.4300105265845534,0.7301065816361212,stii,STII-SPEX-EBM
Model 1,1,"[(0, 1)]",7.566861500963569,0.2839313663582591,0.5328521055210903,0.4188604696894743,0.7439773748793059,,Baseline-EBM
Model 1,1,"[(3, 4)]",3.0759171787649398,0.3089246816567351,0.555809933031729,0.433811356450291,0.7214407517676802,,RuleFit-Support-EBM
Model 2,2,"[(0, 1), (1, 8)]",6.196749325841665,0.2792581581737854,0.5284488226628814,0.4107251392626166,0.7481912348781861,,Baseline-EBM
Model 2,2,"[(3, 4), (0, 1)]",9.872663214802742,0.2871783072179342,0.5358902007108679,0.4192056512682218,0.7410495887274344,,RuleFit-Support-EBM
Model 3,3,"[(0, 1), (0, 2), (1, 8)]",9.407792838290334,0.2752971943242469,0.5246877112380725,0.4013114929564342,0.751762859865499,,Baseline-EBM
Model 3,3,"[(3, 4), (0, 1), (4, 6)]",13.4527281280607,0.2763551834329186,0.5256949528318858,0.4163969280326882,0.7508088647066498,,RuleFit-Support-EBM
Model 4,4,"[(0, 1), (0, 2), (1, 2), (1, 8)]",11.475510029005818,0.2786494911618197,0.5278726088383633,0.4051955777778709,0.7487400735930718,,Baseline-EBM
Model 4,4,"[(3, 4), (0, 1), (4, 6), (2, 3)]",8.76063175802119,0.2802558664149595,0.5293919780417526,0.4182344099742209,0.7472915953410466,,RuleFit-Support-EBM
Model 5,5,"[(0, 1), (0, 2), (1, 2), (1, 8), (3, 9)]",5.84137823805213,0.2994662334218459,0.547235080584063,0.4235306577728597,0.7299694915745003,,Baseline-EBM
Model 5,5,"[(3, 4), (0, 1), (4, 6), (2, 3), (0, 6)]",10.98869151249528,0.2881991451640887,0.5368418250882552,0.4245491412631604,0.7401290929958445,,RuleFit-Support-EBM
Model 6,6,"[(0, 1), (0, 2), (1, 2), (1, 8), (3, 7), (3, 9)]",9.353270322084429,0.2988355804316809,0.5466585592778008,0.4234764710820178,0.7305381551785015,,Baseline-EBM
Model 6,6,"[(3, 4), (0, 1), (4, 6), (2, 3), (0, 6), (1, 3)]",11.303893437609076,0.2976146067683549,0.5455406554679082,0.4273938733045997,0.7316391144930618,,RuleFit-Support-EBM
Model 7,7,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 8), (3, 7), (3, 9)]",7.938425487838685,0.2993098472985154,0.5470921744080384,0.4232485171721826,0.7301105058848989,,Baseline-EBM
Model 7,7,"[(3, 4), (0, 1), (4, 6), (2, 3), (0, 6), (1, 3), (1, 3, 4)]",1510.9153382419609,0.3012583307319253,0.5488700490388643,0.4334018866708903,0.7283535466238487,,RuleFit-Support-EBM
Model 8,8,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 8), (3, 7), (3, 9), (7, 9)]",11.841849755495788,0.3004614138664261,0.5481436069739627,0.4250285713872063,0.7290721313667918,,Baseline-EBM
Model 8,8,"[(3, 4), (0, 1), (4, 6), (2, 3), (0, 6), (1, 3), (1, 3, 4), (3, 4, 7)]",342.6278498619795,0.3047149480079942,0.552009916584833,0.4315566620516232,0.7252366939829887,,RuleFit-Support-EBM
Model 9,9,"[(0, 1), (0, 2), (0, 5), (1, 2), (1, 8), (2, 8), (3, 7), (3, 9), (7, 9)]",11.074540024623277,0.2993602234488102,0.547138212382219,0.424038552155978,0.7300650814064154,,Baseline-EBM
Model 9,9,"[(3, 4), (0, 1), (4, 6), (2, 3), (0, 6), (1, 3), (1, 3, 4), (3, 4, 7), (0, 1, 6)]",1169.9807361215353,0.2953388455619489,0.5434508676614188,0.4280398270708859,0.7336911820954722,,RuleFit-Support-EBM
Model 10,10,"[(0, 1), (0, 2), (0, 4), (0, 5), (1, 2), (1, 8), (2, 8), (3, 7), (3, 9), (7, 9)]",8.629949344322085,0.3030592739994107,0.5505081961237369,0.4280432378687373,0.7267296252200639,,Baseline-EBM
Model 10,10,"[(3, 4), (0, 1), (4, 6), (2, 3), (0, 6), (1, 3), (1, 3, 4), (3, 4, 7), (0, 1, 6), (2, 4)]",710.5974176041782,0.2991462326906621,0.5469426228505712,0.4297037428786924,0.7302580381633785,,RuleFit-Support-EBM
