Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(3, 5)]",5.8034471571445465,1649443.5173391658,1284.3066290178392,968.37694504896,0.7336657281633259,bii,BII-SPEX-EBM
Model 2,2,"[(3, 5), (1, 4, 5)]",13.40821958333254,1749095.1356964242,1322.5336047512835,964.3861796300738,0.7175750642918275,bii,BII-SPEX-EBM
Model 3,3,"[(3, 5), (1, 4, 5), (1, 5)]",20.70702613890171,1758499.0938432985,1326.084120198752,975.8389931378632,0.7160566149972007,bii,BII-SPEX-EBM
Model 4,4,"[(3, 5), (1, 4, 5), (1, 5), (4, 5)]",25.902369514107704,1758342.7276489672,1326.02516101655,982.4789844370872,0.7160818633164485,bii,BII-SPEX-EBM
Model 5,5,"[(3, 5), (1, 4, 5), (1, 5), (4, 5), (1, 4)]",363.5514151453972,1722099.9479639467,1312.288058302729,966.1603456757206,0.721933954785648,bii,BII-SPEX-EBM
Model 6,6,"[(3, 5), (1, 4, 5), (1, 5), (4, 5), (1, 4), (2, 4)]",20.051943890750408,1754793.3339646354,1324.686126584194,997.210906183717,0.7166549809603331,bii,BII-SPEX-EBM
Model 7,7,"[(3, 5), (1, 4, 5), (1, 5), (4, 5), (1, 4), (2, 4), (4, 6)]",165.96799650788307,1911474.6595155648,1382.5609062589483,952.6169466987888,0.6913557777367341,bii,BII-SPEX-EBM
Model 8,8,"[(3, 5), (1, 4, 5), (1, 5), (4, 5), (1, 4), (2, 4), (4, 6), (0, 5)]",52.66642095893621,1859166.279100944,1363.5124785277706,927.734429417506,0.6998019683836001,bii,BII-SPEX-EBM
Model 9,9,"[(3, 5), (1, 4, 5), (1, 5), (4, 5), (1, 4), (2, 4), (4, 6), (0, 5), (1, 2, 5)]",86.00731370598078,1854231.0562599865,1361.7015298001195,920.2523798136474,0.7005988547079154,bii,BII-SPEX-EBM
Model 10,10,"[(3, 5), (1, 4, 5), (1, 5), (4, 5), (1, 4), (2, 4), (4, 6), (0, 5), (1, 2, 5), (1, 3)]",63.226138919591904,1960243.1932540007,1400.0868520395445,944.364884335572,0.6834811631862936,bii,BII-SPEX-EBM
Model 1,1,"[(4, 5)]",0.424341470003128,1866094.527278072,1366.050704504804,1047.0701381190652,0.6986832699171404,fbii,FBII-SPEX-EBM
Model 2,2,"[(4, 5), (1, 4, 5)]",11.100005574524404,1816481.88849354,1347.769226720042,971.0814748963846,0.7066941814067862,fbii,FBII-SPEX-EBM
Model 3,3,"[(4, 5), (1, 4, 5), (3, 5)]",16.479753471910954,1793434.7049592317,1339.1918103689372,1003.552518736122,0.7104155909488349,fbii,FBII-SPEX-EBM
Model 4,4,"[(4, 5), (1, 4, 5), (3, 5), (5, 6)]",196.34394881129265,1889668.079264864,1374.651984781917,965.7296146488194,0.69487686809919,fbii,FBII-SPEX-EBM
Model 5,5,"[(4, 5), (1, 4, 5), (3, 5), (5, 6), (1, 3, 4)]",187.1582560315728,1840821.03703954,1356.7686011400544,938.8776219985036,0.702764159349662,fbii,FBII-SPEX-EBM
Model 6,6,"[(4, 5), (1, 4, 5), (3, 5), (5, 6), (1, 3, 4), (1, 5)]",180.00083792954683,1800160.1108811188,1341.7004549753717,949.745521573525,0.709329645252494,fbii,FBII-SPEX-EBM
Model 7,7,"[(4, 5), (1, 4, 5), (3, 5), (5, 6), (1, 3, 4), (1, 5), (2, 5)]",146.34280966967344,1876613.409374496,1369.8954008881467,957.6890394689,0.6969847947803826,fbii,FBII-SPEX-EBM
Model 8,8,"[(4, 5), (1, 4, 5), (3, 5), (5, 6), (1, 3, 4), (1, 5), (2, 5), (4, 6)]",144.4378286898136,1970234.199948137,1403.650312559413,961.56579045998,0.6818679236513682,fbii,FBII-SPEX-EBM
Model 9,9,"[(4, 5), (1, 4, 5), (3, 5), (5, 6), (1, 3, 4), (1, 5), (2, 5), (4, 6), (1, 2, 4)]",125.31257573515175,1990912.317287756,1410.9969232027956,953.81183047368,0.6785290452558927,fbii,FBII-SPEX-EBM
Model 10,10,"[(4, 5), (1, 4, 5), (3, 5), (5, 6), (1, 3, 4), (1, 5), (2, 5), (4, 6), (1, 2, 4), (1, 4)]",137.48941680043936,1949696.303350333,1396.3152592986776,953.6718141899196,0.6851841607203748,fbii,FBII-SPEX-EBM
Model 1,1,"[(1, 5)]",1.816767692565918,1726968.3232280037,1314.141667868424,956.2641690250152,0.7211478622839346,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(1, 5), (3, 5)]",1.7246746718883514,1684395.7092431027,1297.8427135994186,929.3139407467096,0.728022026828922,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(1, 5), (3, 5), (4, 5)]",4.896808184683323,1741341.1819576132,1319.598871611223,927.2365655686444,0.7188270887480591,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(1, 5), (3, 5), (4, 5), (2, 4)]",3.5469836220145226,1817888.9306495525,1348.2911149486793,954.1580418532304,0.7064669874810012,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(1, 5), (3, 5), (4, 5), (2, 4), (4, 6)]",4.876236841082573,2069275.312888885,1438.4975887671433,1015.5174471972211,0.6658758375813218,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(1, 5), (3, 5), (4, 5), (2, 4), (4, 6), (1, 4)]",4.708659805357456,1962094.0345749145,1400.747669844542,952.0463707693405,0.6831823093787466,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(1, 5), (3, 5), (4, 5), (2, 4), (4, 6), (1, 4), (1, 6)]",4.648877151310444,1891061.8945107209,1375.1588615540827,926.1570165155556,0.6946518099115784,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(1, 5), (3, 5), (4, 5), (2, 4), (4, 6), (1, 4), (1, 6), (2, 5)]",4.919964179396629,1964343.092299763,1401.5502460845858,926.7970596758591,0.6828191558999099,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(4, 5)]",3.3559974879026413,1866094.527278072,1366.050704504804,1047.0701381190652,0.6986832699171404,fsii,FSII-SPEX-EBM
Model 2,2,"[(4, 5), (3, 5)]",3.5728465020656586,1820821.0060305016,1349.3780070945656,1000.1510744762631,0.7059935477097412,fsii,FSII-SPEX-EBM
Model 3,3,"[(4, 5), (3, 5), (1, 4, 5)]",15.139848798513412,1714122.2053035852,1309.2448989030224,990.9793020948644,0.7232221142527726,fsii,FSII-SPEX-EBM
Model 4,4,"[(4, 5), (3, 5), (1, 4, 5), (1, 5)]",26.72669592499733,1748431.9148488927,1322.2828422273703,988.1698389237604,0.717682154010049,fsii,FSII-SPEX-EBM
Model 5,5,"[(4, 5), (3, 5), (1, 4, 5), (1, 5), (5, 6)]",201.8215982168913,1882688.021689659,1372.110790603171,960.7916249587628,0.6960039321860338,fsii,FSII-SPEX-EBM
Model 6,6,"[(4, 5), (3, 5), (1, 4, 5), (1, 5), (5, 6), (4, 6)]",208.35216237604615,1929860.716504223,1389.1942688134814,948.6152201924476,0.6883869964183404,fsii,FSII-SPEX-EBM
Model 7,7,"[(4, 5), (3, 5), (1, 4, 5), (1, 5), (5, 6), (4, 6), (2, 4)]",172.8507885709405,2035788.3176898868,1426.8105402224526,996.9243802040731,0.6712829548233301,fsii,FSII-SPEX-EBM
Model 8,8,"[(4, 5), (3, 5), (1, 4, 5), (1, 5), (5, 6), (4, 6), (2, 4), (2, 5)]",161.35462568700314,1929138.8667069084,1388.9344357121067,1000.6224720835128,0.688503552904284,fsii,FSII-SPEX-EBM
Model 9,9,"[(4, 5), (3, 5), (1, 4, 5), (1, 5), (5, 6), (4, 6), (2, 4), (2, 5), (0, 5)]",54.356703504920006,1889205.3885606888,1374.4836807182137,938.196071627651,0.6949515783820743,fsii,FSII-SPEX-EBM
Model 10,10,"[(4, 5), (3, 5), (1, 4, 5), (1, 5), (5, 6), (4, 6), (2, 4), (2, 5), (0, 5), (1, 5, 6)]",45.85750564932823,1863126.0520133208,1364.9637548350215,971.7796406748512,0.6991625871473406,fsii,FSII-SPEX-EBM
Model 1,1,"[(4, 5)]",3.466343589127064,1866094.527278072,1366.050704504804,1047.0701381190652,0.6986832699171404,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(4, 5), (3, 5)]",3.426768273115158,1820821.0060305016,1349.3780070945656,1000.1510744762631,0.7059935477097412,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(4, 5), (3, 5), (1, 4, 5)]",15.58814538270235,1714122.2053035852,1309.2448989030224,990.9793020948644,0.7232221142527726,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(4, 5), (3, 5), (1, 4, 5), (5, 6)]",216.96075519919395,1819420.648168021,1348.8590171578426,946.0580050842276,0.7062196623282133,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5)]",200.0883983373642,1906318.089440892,1380.6947850415356,963.838236070449,0.6921884048146398,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6)]",202.9120187461376,1917217.403748077,1384.636199060272,951.30093002951,0.6904285016054618,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6), (2, 5)]",157.06977856904268,2017605.0145102972,1420.4242375115602,992.174656332368,0.6742189976529347,mobius,MOBIUS-SPEX-EBM
Model 8,8,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6), (2, 5), (0, 1, 6)]",36.43953122198582,1921697.8034313105,1386.253152721865,987.3962376607536,0.6897050551978539,mobius,MOBIUS-SPEX-EBM
Model 9,9,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6), (2, 5), (0, 1, 6), (0, 2, 5)]",51.02277068048716,1904580.0419188049,1380.0652310375783,983.0521657061424,0.692469045901374,mobius,MOBIUS-SPEX-EBM
Model 10,10,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6), (2, 5), (0, 1, 6), (0, 2, 5), (0, 2, 6)]",43.443766966462135,1920899.833772284,1385.9653075644728,1027.0172692006122,0.6898339026945098,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(3, 5)]",3.4243411272764206,1649443.5173391658,1284.3066290178392,968.37694504896,0.7336657281633259,sii,SII-SPEX-EBM
Model 2,2,"[(3, 5), (1, 5)]",3.3600159138441086,1619556.6203419345,1272.6180182371827,914.1876610888244,0.738491540545223,sii,SII-SPEX-EBM
Model 3,3,"[(3, 5), (1, 5), (1, 4, 5)]",21.085705175995827,1704996.1311792512,1305.7550042711885,964.6145362921828,0.7246956938455755,sii,SII-SPEX-EBM
Model 4,4,"[(3, 5), (1, 5), (1, 4, 5), (4, 5)]",231.5994411855936,1779126.8643482116,1333.8391448552602,994.1939344414222,0.7127258660632192,sii,SII-SPEX-EBM
Model 5,5,"[(3, 5), (1, 5), (1, 4, 5), (4, 5), (1, 4)]",232.38000160455704,1740902.3735677153,1319.4325953104674,956.3441270462988,0.7188979427735355,sii,SII-SPEX-EBM
Model 6,6,"[(3, 5), (1, 5), (1, 4, 5), (4, 5), (1, 4), (2, 4)]",16.37965576350689,1831519.0805767283,1353.3362777139791,1019.2497332735584,0.7042661385172639,sii,SII-SPEX-EBM
Model 7,7,"[(3, 5), (1, 5), (1, 4, 5), (4, 5), (1, 4), (2, 4), (3, 4)]",181.6868433058262,1850312.8706917656,1360.2620595649082,1002.8265691159158,0.701231520870329,sii,SII-SPEX-EBM
Model 8,8,"[(3, 5), (1, 5), (1, 4, 5), (4, 5), (1, 4), (2, 4), (3, 4), (4, 6)]",164.74552253633738,1861334.0796966297,1364.307179375902,953.768052255346,0.6994519354257753,sii,SII-SPEX-EBM
Model 9,9,"[(3, 5), (1, 5), (1, 4, 5), (4, 5), (1, 4), (2, 4), (3, 4), (4, 6), (0, 1, 2)]",68.64355135709047,1868430.032531793,1366.9052756251228,999.4701934306796,0.698306157827771,sii,SII-SPEX-EBM
Model 10,10,"[(3, 5), (1, 5), (1, 4, 5), (4, 5), (1, 4), (2, 4), (3, 4), (4, 6), (0, 1, 2), (0, 1, 3)]",100.83697257190944,1982617.2993941568,1408.054437652947,1035.4141670650647,0.6798684348908454,sii,SII-SPEX-EBM
Model 1,1,"[(4, 5)]",3.5962032824754715,1866094.527278072,1366.050704504804,1047.0701381190652,0.6986832699171404,stii,STII-SPEX-EBM
Model 2,2,"[(4, 5), (3, 5)]",3.761086583137512,1820821.0060305016,1349.3780070945656,1000.1510744762631,0.7059935477097412,stii,STII-SPEX-EBM
Model 3,3,"[(4, 5), (3, 5), (1, 4, 5)]",15.039455384016035,1714122.2053035852,1309.2448989030224,990.9793020948644,0.7232221142527726,stii,STII-SPEX-EBM
Model 4,4,"[(4, 5), (3, 5), (1, 4, 5), (5, 6)]",212.79041766375303,1819420.648168021,1348.8590171578426,946.0580050842276,0.7062196623282133,stii,STII-SPEX-EBM
Model 5,5,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5)]",200.2590326294303,1906318.089440892,1380.6947850415356,963.838236070449,0.6921884048146398,stii,STII-SPEX-EBM
Model 6,6,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6)]",201.43136347830296,1917217.403748077,1384.636199060272,951.30093002951,0.6904285016054618,stii,STII-SPEX-EBM
Model 7,7,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6), (2, 5)]",155.1130591481924,2017605.0145102972,1420.4242375115602,992.174656332368,0.6742189976529347,stii,STII-SPEX-EBM
Model 8,8,"[(4, 5), (3, 5), (1, 4, 5), (5, 6), (1, 5), (4, 6), (2, 5), (0, 1, 6)]",40.876060731709,1921697.8034313105,1386.253152721865,987.3962376607536,0.6897050551978539,stii,STII-SPEX-EBM
