Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(10, 11)]",4.114317699335516,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,bii,BII-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",2.914935940876603,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,bii,BII-SPEX-EBM
Model 3,3,"[(10, 11), (8, 11), (9, 10, 11)]",87.98116207122803,272.39101603707564,16.504272660043995,12.460555865608251,0.878522726307281,bii,BII-SPEX-EBM
Model 4,4,"[(10, 11), (8, 11), (9, 10, 11), (6, 11)]",89.58112177532166,273.28685893022737,16.53139010882713,12.4176645370674,0.878123210369126,bii,BII-SPEX-EBM
Model 5,5,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10, 11)]",150.57509988639504,275.6707271164599,16.603334819139796,12.54953943556134,0.8770600849682981,bii,BII-SPEX-EBM
Model 1,1,"[(10, 11)]",2.8373696077615023,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,fbii,FBII-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",0.4499982576817274,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,fbii,FBII-SPEX-EBM
Model 3,3,"[(10, 11), (8, 11), (9, 10, 11)]",84.43533143866807,272.39101603707564,16.504272660043995,12.460555865608251,0.878522726307281,fbii,FBII-SPEX-EBM
Model 4,4,"[(10, 11), (8, 11), (9, 10, 11), (6, 11)]",86.80234372895211,273.28685893022737,16.53139010882713,12.4176645370674,0.878123210369126,fbii,FBII-SPEX-EBM
Model 5,5,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10)]",97.76460528653116,278.3201400411699,16.682929600078335,12.536945524061553,0.8758785355043605,fbii,FBII-SPEX-EBM
Model 6,6,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10), (8, 10, 11)]",167.29642925411463,275.1480086737514,16.587585980900037,12.484765624772267,0.8772931998934999,fbii,FBII-SPEX-EBM
Model 1,1,"[(10, 11)]",2.6898378245532517,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",0.5008133603259921,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(10, 11)]",1.5066161435097456,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,fsii,FSII-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",3.023661119863391,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,fsii,FSII-SPEX-EBM
Model 3,3,"[(10, 11), (8, 11), (8, 10)]",2.919520595110953,280.1041584561165,16.736312570459376,12.543524877427746,0.8750829230189773,fsii,FSII-SPEX-EBM
Model 4,4,"[(10, 11), (8, 11), (8, 10), (6, 11)]",3.242818934842944,277.97503713487947,16.67258339714873,12.436408114027731,0.8760324398467632,fsii,FSII-SPEX-EBM
Model 5,5,"[(10, 11), (8, 11), (8, 10), (6, 11), (9, 10, 11)]",97.69291867315768,273.2061328954322,16.528948329988577,12.420408980690654,0.8781592114779937,fsii,FSII-SPEX-EBM
Model 6,6,"[(10, 11), (8, 11), (8, 10), (6, 11), (9, 10, 11), (8, 10, 11)]",172.60129937715828,274.1702021698242,16.55808570366225,12.426683853828756,0.8777292688579768,fsii,FSII-SPEX-EBM
Model 7,7,"[(10, 11), (8, 11), (8, 10), (6, 11), (9, 10, 11), (8, 10, 11), (9, 11)]",199.62728054542092,273.62012868632735,16.541466944812584,12.413728393466869,0.8779745832155427,fsii,FSII-SPEX-EBM
Model 1,1,"[(10, 11)]",1.5285614747554064,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,mobius,MOBIUS-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",1.5985156260430813,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,mobius,MOBIUS-SPEX-EBM
Model 3,3,"[(10, 11), (8, 11), (6, 11)]",3.026418138295412,287.36196219626294,16.951753956339235,12.752556645860729,0.8718461855370413,mobius,MOBIUS-SPEX-EBM
Model 4,4,"[(10, 11), (8, 11), (6, 11), (9, 10, 11)]",91.84883712977172,276.0518781521229,16.61480900137353,12.52352682184326,0.8768901043670612,mobius,MOBIUS-SPEX-EBM
Model 5,5,"[(10, 11), (8, 11), (6, 11), (9, 10, 11), (8, 10)]",100.62939210794866,271.9610115899208,16.491240450309395,12.398740859189804,0.8787144938944653,mobius,MOBIUS-SPEX-EBM
Model 6,6,"[(10, 11), (8, 11), (6, 11), (9, 10, 11), (8, 10), (9, 11)]",116.88535055611284,274.3584593218426,16.563769478045828,12.447870690197153,0.8776453124708937,mobius,MOBIUS-SPEX-EBM
Model 7,7,"[(10, 11), (8, 11), (6, 11), (9, 10, 11), (8, 10), (9, 11), (8, 10, 11)]",212.8251669127494,273.2886493779581,16.531444261707993,12.390589882887474,0.878122411889381,mobius,MOBIUS-SPEX-EBM
Model 1,1,"[(10, 11)]",1.8381240237504244,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,sii,SII-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",2.9364909045398235,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,sii,SII-SPEX-EBM
Model 3,3,"[(10, 11), (8, 11), (9, 10, 11)]",94.9830520534888,272.39101603707564,16.504272660043995,12.460555865608251,0.878522726307281,sii,SII-SPEX-EBM
Model 4,4,"[(10, 11), (8, 11), (9, 10, 11), (6, 11)]",92.86973240226509,273.28685893022737,16.53139010882713,12.4176645370674,0.878123210369126,sii,SII-SPEX-EBM
Model 5,5,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10, 11)]",153.81986527051777,275.6707271164599,16.603334819139796,12.54953943556134,0.8770600849682981,sii,SII-SPEX-EBM
Model 6,6,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10, 11), (2, 11)]",171.87144253123552,277.6627091370481,16.663214249869323,12.505327054786306,0.876171727677274,sii,SII-SPEX-EBM
Model 1,1,"[(10, 11)]",2.676723331212997,277.9929390504224,16.673120255381786,12.79499043050106,0.8760244561917746,stii,STII-SPEX-EBM
Model 2,2,"[(10, 11), (8, 11)]",3.486561085097492,284.9920723563938,16.88170821796165,12.759526236124016,0.8729030770633763,stii,STII-SPEX-EBM
Model 3,3,"[(10, 11), (8, 11), (9, 10, 11)]",90.80965538229792,272.39101603707564,16.504272660043995,12.460555865608251,0.878522726307281,stii,STII-SPEX-EBM
Model 4,4,"[(10, 11), (8, 11), (9, 10, 11), (6, 11)]",90.94193780515344,273.28685893022737,16.53139010882713,12.4176645370674,0.878123210369126,stii,STII-SPEX-EBM
Model 5,5,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10)]",101.5290103033185,278.3201400411699,16.682929600078335,12.536945524061553,0.8758785355043605,stii,STII-SPEX-EBM
Model 6,6,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10), (6, 10)]",110.63787529896943,273.5563600969228,16.539539295183612,12.39796127588268,0.8780030218714895,stii,STII-SPEX-EBM
Model 7,7,"[(10, 11), (8, 11), (9, 10, 11), (6, 11), (8, 10), (6, 10), (8, 10, 11)]",190.14475650992244,272.2861895644141,16.501096617025613,12.406168301342973,0.8785694754045714,stii,STII-SPEX-EBM
Model 1,1,"[(6, 9)]",4.375761343166232,278.6360256368582,16.69239424519018,12.542381944600471,0.8757376611043113,,Baseline-EBM
Model 1,1,"[(7, 10)]",2.6264982130378485,261.2721261263734,16.163914319445443,12.13368713931402,0.8834813789548329,,RuleFit-Support-EBM
Model 2,2,"[(4, 10), (6, 9)]",7.39993704110384,281.9844467404133,16.792392525796117,12.476447875668242,0.8742443773949115,,Baseline-EBM
Model 2,2,"[(7, 10), (7, 11)]",4.601694470271468,265.9949338339453,16.309351116275145,12.244425371651786,0.8813751648335394,,RuleFit-Support-EBM
Model 3,3,"[(4, 10), (6, 9), (9, 11)]",8.911201167851686,276.3083938078351,16.622526697461943,12.571906357235829,0.8767757069725775,,Baseline-EBM
Model 3,3,"[(7, 10), (7, 11), (10, 11)]",4.34400087594986,269.22716633735905,16.40814329341864,12.468894202183112,0.8799336973498898,,RuleFit-Support-EBM
