Model,Num_Interactions,Interactions,Train_Time_s,MSE,RMSE,MAE,R2,Index,Model_Type
Model 1,1,"[(2, 4)]",4.944428967311978,1578.912445839272,39.735531276670656,29.7194850271782,0.8071808153022061,bii,BII-SPEX-EBM
Model 2,2,"[(2, 4), (0, 4)]",3.762011023238301,1337.830650226611,36.57636737330009,27.374275364550652,0.8366220901480728,bii,BII-SPEX-EBM
Model 3,3,"[(2, 4), (0, 4), (1, 4)]",4.858117144554853,1420.6647464584134,37.69170660050316,30.67531418184401,0.8265062645728902,bii,BII-SPEX-EBM
Model 4,4,"[(2, 4), (0, 4), (1, 4), (4, 5)]",3.6950491033494473,1475.4372155777849,38.41142037959264,28.383544367463333,0.8198173674986332,bii,BII-SPEX-EBM
Model 5,5,"[(2, 4), (0, 4), (1, 4), (4, 5), (0, 2, 4)]",4.62222919985652,1251.7449863420786,35.38000828634836,26.798482584702118,0.8471350021009332,bii,BII-SPEX-EBM
Model 1,1,"[(2, 4)]",3.8311595879495135,1578.912445839272,39.735531276670656,29.7194850271782,0.8071808153022061,fbii,FBII-SPEX-EBM
Model 2,2,"[(2, 4), (0, 4)]",3.971531923860312,1337.830650226611,36.57636737330009,27.374275364550652,0.8366220901480728,fbii,FBII-SPEX-EBM
Model 3,3,"[(2, 4), (0, 4), (1, 4)]",4.833258716389537,1420.6647464584134,37.69170660050316,30.67531418184401,0.8265062645728902,fbii,FBII-SPEX-EBM
Model 4,4,"[(2, 4), (0, 4), (1, 4), (1, 3, 5)]",65.26978948153555,1373.0059755241828,37.05409525982496,25.055834507002068,0.8323264260260813,fbii,FBII-SPEX-EBM
Model 5,5,"[(2, 4), (0, 4), (1, 4), (1, 3, 5), (1, 2, 3)]",54.56715759076178,1503.3280379409075,38.77277444213797,26.68110372554723,0.8164112979329774,fbii,FBII-SPEX-EBM
Model 6,6,"[(2, 4), (0, 4), (1, 4), (1, 3, 5), (1, 2, 3), (0, 2, 3)]",9.438433691859244,1527.5509889502057,39.08389679842845,26.53188690378376,0.8134531543849324,fbii,FBII-SPEX-EBM
Model 7,7,"[(2, 4), (0, 4), (1, 4), (1, 3, 5), (1, 2, 3), (0, 2, 3), (0, 3, 4)]",45.24289034493268,1373.559062374528,37.061557743496536,25.536342017054885,0.8322588822203233,fbii,FBII-SPEX-EBM
Model 8,8,"[(2, 4), (0, 4), (1, 4), (1, 3, 5), (1, 2, 3), (0, 2, 3), (0, 3, 4), (1, 2, 4)]",218.4046379383653,1387.3836821433267,37.247599682977246,25.4808706466451,0.8305705986681851,fbii,FBII-SPEX-EBM
Model 9,9,"[(2, 4), (0, 4), (1, 4), (1, 3, 5), (1, 2, 3), (0, 2, 3), (0, 3, 4), (1, 2, 4), (1, 4, 5)]",39.55970006622374,1361.4717796985906,36.89812704865371,25.08727808333509,0.8337349995293785,fbii,FBII-SPEX-EBM
Model 10,10,"[(2, 4), (0, 4), (1, 4), (1, 3, 5), (1, 2, 3), (0, 2, 3), (0, 3, 4), (1, 2, 4), (1, 4, 5), (0, 2)]",43.7418432161212,1312.4882303703143,36.2282794287876,24.41402632795769,0.8397169449310831,fbii,FBII-SPEX-EBM
Model 1,1,"[(2, 4)]",1.9547566417604685,1578.912445839272,39.735531276670656,29.7194850271782,0.8071808153022061,fourier,FOURIER-SPEX-EBM
Model 2,2,"[(2, 4), (0, 4)]",3.912550849840045,1337.830650226611,36.57636737330009,27.374275364550652,0.8366220901480728,fourier,FOURIER-SPEX-EBM
Model 3,3,"[(2, 4), (0, 4), (1, 4)]",4.618382174521685,1420.6647464584134,37.69170660050316,30.67531418184401,0.8265062645728902,fourier,FOURIER-SPEX-EBM
Model 4,4,"[(2, 4), (0, 4), (1, 4), (0, 2)]",4.601639525964856,1436.8853822858491,37.90627101530629,29.422850668534277,0.8245253759024843,fourier,FOURIER-SPEX-EBM
Model 5,5,"[(2, 4), (0, 4), (1, 4), (0, 2), (1, 3)]",4.942294327542186,1311.949286176233,36.22084049516567,26.785933585880624,0.8397827616141894,fourier,FOURIER-SPEX-EBM
Model 6,6,"[(2, 4), (0, 4), (1, 4), (0, 2), (1, 3), (2, 3)]",4.550746547058225,1404.0524796646248,37.47068827316393,27.807255641973644,0.8285349798114088,fourier,FOURIER-SPEX-EBM
Model 7,7,"[(2, 4), (0, 4), (1, 4), (0, 2), (1, 3), (2, 3), (4, 5)]",4.520741544663906,1572.5919015728416,39.65591887187639,29.273810713361417,0.8079526897627001,fourier,FOURIER-SPEX-EBM
Model 8,8,"[(2, 4), (0, 4), (1, 4), (0, 2), (1, 3), (2, 3), (4, 5), (0, 1)]",11.29212437570095,1469.3197004296353,38.33170620295469,28.804214347970134,0.8205644477350016,fourier,FOURIER-SPEX-EBM
Model 9,9,"[(2, 4), (0, 4), (1, 4), (0, 2), (1, 3), (2, 3), (4, 5), (0, 1), (0, 1, 5)]",7.2046922985464334,1591.576231022502,39.89456392821586,29.172063067184933,0.8056342946318211,fourier,FOURIER-SPEX-EBM
Model 10,10,"[(2, 4), (0, 4), (1, 4), (0, 2), (1, 3), (2, 3), (4, 5), (0, 1), (0, 1, 5), (2, 4, 5)]",7.445747466757894,1382.0977921286726,37.17657585266121,26.062360355095404,0.8312161195808321,fourier,FOURIER-SPEX-EBM
Model 1,1,"[(2, 4)]",3.674017049372196,1578.912445839272,39.735531276670656,29.7194850271782,0.8071808153022061,fsii,FSII-SPEX-EBM
Model 2,2,"[(2, 4), (0, 4)]",3.8748935256153354,1337.830650226611,36.57636737330009,27.374275364550652,0.8366220901480728,fsii,FSII-SPEX-EBM
Model 3,3,"[(2, 4), (0, 4), (1, 4)]",4.459567349404097,1420.6647464584134,37.69170660050316,30.67531418184401,0.8265062645728902,fsii,FSII-SPEX-EBM
